Địa chỉ,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Dài,Rộng,Giá/m2
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,2.0,3 phòng,81 m²,22.5 m,3.6 m,"39,51 triệu/m²"
"Đường Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,2 phòng,47 m²,,,"70,21 triệu/m²"
"Đường Xuân Đỗ, Phường Cự Khối, Quận Long Biên, Hà Nội","Nhà ngõ, hẻm",,,3 phòng,32 m²,,,"52,81 triệu/m²"
"Đường Trường Chinh, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội","Nhà ngõ, hẻm",,,4 phòng,56 m²,,,"83,04 triệu/m²"
Ngõ 463 - Đường Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,,3 phòng,27 m²,8.7 m,3.1 m,"166,67 triệu/m²"
"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,5.0,3 phòng,45 m²,9 m,4 m,"64,44 triệu/m²"
"Đường Lương Khánh Thiện, Phường Tân Mai, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,3 phòng,30 m²,7 m,4.55 m,95 triệu/m²
"Đường Thái Hà, Phường Thịnh Quang, Quận Đống Đa, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,,6 phòng,50 m²,,,90 triệu/m²
"Nghĩa Đô, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội","Nhà ngõ, hẻm",,,5 phòng,55 m²,,,"181,82 triệu/m²"
"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Quận Long Biên, Hà Nội","Nhà ngõ, hẻm",,,4 phòng,32 m²,,,"82,81 triệu/m²"
"Đường Xã Đàn 2, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,2 phòng,30 m²,,5 m,"86,67 triệu/m²"
"Đường Hà Trì, Phường Hà Cầu, Quận Hà Đông, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,4 phòng,45 m²,,3.3 m,"62,22 triệu/m²"
"Đường Lê Trọng Tấn||1804, Phường La Khê, Quận Hà Đông, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,3 phòng,36 m²,,3.9 m,"59,72 triệu/m²"
"Khu đô thị Nam Trung Yên, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,,6 phòng,104 m²,,,"437,5 triệu/m²"
"Đường Lê Trọng Tấn, Phường Phú La, Quận Hà Đông, Hà Nội",Nhà phố liền kề,Đã có sổ,5.0,6 phòng,83 m²,,,"104,43 triệu/m²"
"Đường Số 1, Phường Văn Quán, Quận Hà Đông, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,4.0,4 phòng,68 m²,,,"76,47 triệu/m²"
"Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Nhà mặt phố, mặt tiền",,,8 phòng,33 m²,10 m,3.3 m,"130,3 triệu/m²"
"Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội","Nhà ngõ, hẻm",,,4 phòng,35 m²,,,"85,71 triệu/m²"
"0912533345, Đường Phan Trọng Tuệ, Xã Tam Hiệp, Huyện Thanh Trì, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,3.0,3 phòng,36 m²,12 m,3 m,"55,22 triệu/m²"
"Đường Võng Thị||771, Phường Bưởi, Quận Tây Hồ, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,5 phòng,42 m²,,,150 triệu/m²
"Đường Kim Ngưu, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,4 phòng,40 m²,,,"162,25 triệu/m²"
"Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội","Nhà ngõ, hẻm",,,4 phòng,62 m²,,,75 triệu/m²
"Đường Đông Thiên, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,3 phòng,30 m²,,,70 triệu/m²
"Đường Thông Phong, Phường Quốc Tử Giám, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,2.0,3 phòng,31 m²,,5 m,"74,19 triệu/m²"
"Đường Đường Láng, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Nhà mặt phố, mặt tiền",,,nhiều hơn 10 phòng,62 m²,17 m,3.6 m,"282,26 triệu/m²"
"Trần Khát Chân, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,3 phòng,35 m²,8.75 m,4 m,"68,57 triệu/m²"
"Đường Trương Định||1030, Phường Tân Mai, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,3 phòng,48 m²,,4 m,"68,75 triệu/m²"
"Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,4 phòng,45 m²,,,"102,22 triệu/m²"
,"Nhà ngõ, hẻm",,,1 phòng,30 m²,,,1 đ/m²
"Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,3 phòng,48 m²,,,"68,75 triệu/m²"
"Đường Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội","Nhà mặt phố, mặt tiền",,,3 phòng,60 m²,,,"86,67 triệu/m²"
"Đường Nguyễn Lương Bằng, Phường Nam Đồng, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,4 phòng,31 m²,,,"112,9 triệu/m²"
"Giáp Nhất, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","Nhà ngõ, hẻm",,,4 phòng,55 m²,,,"81,82 triệu/m²"
"duy tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,5 phòng,45 m²,,,"111,11 triệu/m²"
"Phô Trần Quốc Hoàn, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,5.0,4 phòng,40 m²,,,"187,5 triệu/m²"
"quan nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,4 phòng,36 m²,,,"80,56 triệu/m²"
"Đường Trung Phụng, Phường Trung Phụng, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",,,3 phòng,55 m²,15 m,4 m,"54,55 triệu/m²"
"Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,4 phòng,60 m²,15 m,4 m,"83,33 triệu/m²"
"Đường Định Công Hạ, Phường Định Công, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,3 phòng,32 m²,,,"87,5 triệu/m²"
"Đường Yên Lạc, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội","Nhà ngõ, hẻm",,,4 phòng,46 m²,,,"108,26 triệu/m²"
"101/19 Gốc Đề, Đường Ngõ Gốc Đề, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,3 phòng,36 m²,9 m,4 m,"76,39 triệu/m²"
